query	query_gene_n	library	rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	3	EGFR drugactivation rat GSE5282 sample 1867	7.003033471233939e-39	40.2044457443697	3532.1404823242397	ARPC1B;GSTP1;ENO1;YBX1;ACTB;MYL12A;PSMA7;ACTG1;EEF1B2;TUBA1C;LGALS1;SEC61G;C1QBP;CFL1;SH3BGRL3;SEC61B;TIMP1;S100A11;CTSB;EIF5A;PPP1R14B;TPI1;TPM4;TNFRSF12A;TPM2;PGAM1;FN1;NME2;NME1;PKM;OSTC;KDELR2;P4HB;PFN1;GAPDH	5.095874022567896e-36
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	4	PARK7 KD human GSE5519 sample 2379	3.6076301326823307e-37	40.86397128282638	3429.001968661728	YBX1;ACTB;ACTG1;SRM;TUBA1B;PRDX4;LGALS1;GNG5;BASP1;TMSB4X;CFL1;AP2S1;SH3BGRL3;RAC1;RABAC1;TMSB10;S100A11;AP2M1;CTSB;COX8A;PPP1R14B;TPM4;TNFRSF12A;MIF;PDIA6;CKAP4;NME1;PKM;KDELR2;P4HB;PPIB;PFN1;GAPDH	1.968864144911382e-34
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_down	2	LMNA OE human GSE40404 sample 2715	1.1068119480546862e-36	39.350928285402254	3257.9255108364587	FKBP11;GSTP1;TNC;ENO1;ACTB;ACTG1;EEF1B2;PRDX4;LGALS1;S100A16;SEC61G;RABAC1;TMSB10;CTHRC1;POSTN;TPI1;PGAM1;MIF;PDIA6;CKAP4;COL1A1;RCN3;COL3A1;FAP;OSTC;COL5A2;ADAM12;COL6A3;KDELR2;TGFBI;P4HB;PPIB;GAPDH	1.1621525454574204e-33
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_down	3	NFKB1 Inactivation  (IKK Inhibition) human GSE20667 sample 2576	2.911097608164205e-35	30.884953755921497	2456.031688407356	ARPC1B;GSTP1;UQCR10;ENO1;YBX1;ACTB;PSMA7;TUBA1C;TUBA1B;PRDX4;GNG5;TUBB3;SEC61G;C1QBP;TMSB4X;CFL1;AP2S1;SH3BGRL3;TIMP1;SERF2;COX8A;EIF5A;OST4;TPI1;SSR4;GSTO1;PGAM1;MIF;PDIA6;NME1;LSM7;OSTC;PPIB;PFN1;GAPDH	2.0377683257149436e-32
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	5	Irs2 KO mouse GSE2556 sample 331	6.137803801978478e-35	32.13298591005597	2531.3084599834115	TAGLN;GSTP1;UQCR10;ACTB;MYL12A;PSMA7;ACTG1;PTMS;SRM;TUBA1C;TUBA1B;LGALS1;GNG5;BASP1;TUBB3;SEC61G;CFL1;RAC1;TMSB10;AP2M1;POSTN;PPP1R14B;TPI1;TPM4;GSTO1;PGAM1;SSR3;COL1A1;COL3A1;PKM;OSTC;COL5A2;PLIN2;GAPDH	2.478723171651655e-32
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	6	Aqp11 Deficiency mouse GSE10634 sample 605	6.812798456211604e-35	34.26452842172118	2695.647853810457	TAGLN;GSTP1;ACTG1;TUBA1B;LGALS1;SEC61G;TMSB4X;CFL1;SH3BGRL3;TIMP1;TMSB10;S100A11;CTSB;EIF5A;POSTN;TPM4;TNFRSF12A;SSR3;FN1;NME2;PDIA6;COL1A1;RCN3;COL3A1;OSTC;COL5A2;COL6A3;PLIN2;TGFBI;CALR;P4HB;PPIB;PFN1	2.478723171651655e-32
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	7	NR2F2 KD human GSE47438 sample 2214	3.2662401443802345e-34	32.50912106135987	2506.5915159727942	BRI3;GSTP1;YBX1;ACTB;MYL12A;ACTG1;PTMS;TUBA1C;LGALS1;TUBB3;GUK1;C1QBP;TIMP1;RABAC1;TMSB10;COX8A;EIF5A;VKORC1;PPP1R14B;MAP2K2;TPI1;TNFRSF12A;SSR4;GSTO1;TPM2;PGAM1;MIF;PDIA6;CKAP4;LSM7;VDAC1;P4HB;GAPDH	1.0186003193117217e-31
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	8	LRRK2 Gly2019Ser (G2019S) mutation knockin human GSE36321 sample 1688	5.413792640874021e-34	31.962735988929524	2448.31180083007	TAGLN;GSTP1;UQCR10;ENO1;ACTB;MYL12A;PSMA7;ACTG1;SRM;EEF1B2;LDHB;TUBA1C;TUBA1B;PRDX4;GNG5;SEC61G;TMSB4X;COTL1;SEC61B;TIMP1;RAC1;TMSB10;COX8A;PPP1R14B;GSTO1;PGAM1;FN1;MIF;PDIA6;CKAP4;NME1;LSM7;PPIB	1.4772886668784985e-31
SRRS_d7_wound_alignment	100	Ligand_Perturbations_from_GEO_up	9	estriol mouse uterus GSE23241 ligand:151	7.367524800187058e-32	31.031639110022454	2224.522946282909	TAGLN;ARPC1B;UQCR11;UQCR10;YBX1;ACTG1;TUBA1C;LGALS1;SEC61G;TMSB4X;SH3BGRL3;SEC61B;S100A11;SERF2;CTSB;COX8A;VKORC1;POSTN;PPP1R14B;SSR4;LUM;GSTO1;TPM2;NME2;COL1A1;RCN3;COL3A1;RCN1;VDAC1;P4HB;PPIB	2.0547208053855018e-30
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	9	Hras Selective cardiac induced overexpression of the gene for in male mouse GSE3530 sample 984	1.70235453637539e-32	30.436031838477966	2226.4173587039736	TNC;ACTB;ACTG1;PTMS;EEF1B2;TUBA1B;LGALS1;TMSB4X;CFL1;SH3BGRL3;TIMP1;RAC1;S100A11;AP2M1;CTSB;CTHRC1;EIF5A;POSTN;TPM4;TNFRSF12A;LUM;PGAM1;SSR3;FN1;COL1A1;COL3A1;COL5A2;COL6A3;CALR;P4HB;PPIB;PFN1	4.1291555032305296e-30
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_up	10	Hras OE mouse GSE3530 sample 2707	2.273420408480849e-32	30.13302575932334	2195.535572762712	TNC;ACTB;ACTG1;PTMS;EEF1B2;TUBA1B;LGALS1;TMSB4X;CFL1;SH3BGRL3;TIMP1;RAC1;S100A11;AP2M1;CTSB;CTHRC1;EIF5A;POSTN;TPM4;TNFRSF12A;LUM;PGAM1;SSR3;FN1;COL1A1;COL3A1;COL5A2;COL6A3;CALR;P4HB;PPIB;PFN1	4.9628767517136935e-30
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_down	4	FOXP1 KD human GSE51382 sample 2764	8.993166592372095e-32	30.811492854971117	2202.59832618991	FKBP11;GSTP1;UQCR11;UQCR10;ENO1;YBX1;ACTB;PSMA7;ACTG1;SRM;PRDX4;TUBB3;C1QBP;TMSB4X;CFL1;COTL1;RABAC1;SERF2;EIF5A;PRELID1;TPI1;SSR4;PGAM1;MIF;ATOX1;NME1;LSM7;OSTC;P4HB;PPIB;PFN1	3.555727381645044e-29
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_down	5	NRAS KD human GSE12445 sample 2758	9.393201457210458e-32	26.88593346118569	1920.8046678209025	CXCL8;ARPC1B;ENO1;YBX1;ACTB;ACTG1;SRM;EEF1B2;PRDX4;GNG5;C1QBP;TMSB4X;COTL1;TIMP1;RAC1;S100A11;AP2M1;EIF5A;PPP1R14B;TPM4;TNFRSF12A;SSR4;FN1;PDIA6;NME1;LSM7;PKM;COL5A2;KDELR2;TGFBI;P4HB;PPIB;PFN1	3.555727381645044e-29
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_down	6	E2f4 KO mouse GSE11039 sample 1167	1.015922109041441e-31	28.612349287541104	2041.9014571161918	GSTP1;TNC;THY1;ACTB;TUBA1B;LGALS1;GNG5;BASP1;SH3BGRL3;SEC61B;TIMP1;RAC1;RABAC1;S100A11;CTSB;VKORC1;OST4;TNFRSF12A;LUM;GSTO1;TPM2;FN1;NME2;INHBA;CKAP4;COL1A1;RCN3;COL3A1;COL6A3;KDELR2;P4HB;PFN1	3.555727381645044e-29
SRRS_d7_wound_alignment	100	Gene_Perturbations_from_GEO_down	7	Suz12 KO mouse GSE31354 sample 1332	2.352894071890071e-31	26.06977308579056	1838.5574980186918	TAGLN;YBX1;ACTB;MYL12A;ACTG1;EEF1B2;TUBA1B;LGALS1;GNG5;BASP1;TMSB4X;CFL1;RAC1;TMSB10;S100A11;AP2M1;EIF5A;TPI1;TPM4;TNFRSF12A;TPM2;PGAM1;SSR3;FN1;NME2;NME1;COL1A1;PKM;PLIN2;CALR;P4HB;PPIB;GAPDH	7.058682215670214e-29
